"subject"	"culture"	"counterbalance"	"sex"	"age"	"order"	"response"
61	"Brazil"	"CB6"	"Girl"	9	"Min_first"	"Innovation"
62	"Brazil"	"CB9"	"Girl"	11	"Maj_first"	"Majority"
63	"Brazil"	"CB10"	"Girl"	6	"Maj_first"	"Majority"
64	"Brazil"	"CB8"	"Girl"	4	"Min_first"	"Majority"
65	"Brazil"	"CB3"	"Boy"	8	"Min_first"	"Innovation"
66	"Brazil"	"CB7"	"Boy"	8	"Maj_first"	"Majority"
67	"Brazil"	"CB6"	"Girl"	5	"Min_first"	"Majority"
68	"Brazil"	"CB11"	"Girl"	11	"Min_first"	"Minority"
69	"Brazil"	"CB5"	"Boy"	11	"Maj_first"	"Majority"
70	"Brazil"	"CB1"	"Boy"	6	"Min_first"	"Minority"
71	"Brazil"	"CB3"	"Boy"	7	"Min_first"	"Minority"
72	"Brazil"	"CB4"	"Boy"	10	"Min_first"	"Minority"
73	"Brazil"	"CB9"	"Boy"	5	"Maj_first"	"Innovation"
74	"Brazil"	"CB1"	"Boy"	8	"Min_first"	"Majority"
75	"Brazil"	"CB2"	"Girl"	4	"Maj_first"	"Minority"
76	"Brazil"	"CB1"	"Girl"	8	"Min_first"	"Minority"
77	"Brazil"	"CB5"	"Boy"	5	"Maj_first"	"Innovation"
78	"Brazil"	"CB4"	"Boy"	5	"Min_first"	"Minority"
79	"Brazil"	"CB2"	"Boy"	7	"Maj_first"	"Majority"
80	"Brazil"	"CB8"	"Boy"	7	"Min_first"	"Minority"
81	"Brazil"	"CB12"	"Boy"	4	"Maj_first"	"Majority"
82	"Brazil"	"CB2"	"Girl"	9	"Maj_first"	"Majority"
83	"Brazil"	"CB2"	"Girl"	7	"Maj_first"	"Minority"
84	"Brazil"	"CB11"	"Girl"	5	"Min_first"	"Innovation"
85	"Brazil"	"CB2"	"Boy"	8	"Maj_first"	"Majority"
86	"Brazil"	"CB11"	"Girl"	8	"Min_first"	"Minority"
87	"Brazil"	"CB7"	"Girl"	9	"Maj_first"	"Majority"
88	"Brazil"	"CB2"	"Girl"	5	"Maj_first"	"Majority"
89	"Brazil"	"CB2"	"Boy"	12	"Maj_first"	"Majority"
90	"Brazil"	"CB11"	"Boy"	5	"Min_first"	"Minority"
91	"Brazil"	"CB1"	"Boy"	6	"Min_first"	"Majority"
92	"Brazil"	"CB4"	"Boy"	7	"Min_first"	"Minority"
93	"Brazil"	"CB4"	"Girl"	5	"Min_first"	"Minority"
94	"Brazil"	"CB8"	"Girl"	7	"Min_first"	"Minority"
95	"Brazil"	"CB7"	"Girl"	5	"Maj_first"	"Minority"
96	"Brazil"	"CB1"	"Girl"	4	"Min_first"	"Minority"
97	"Brazil"	"CB3"	"Girl"	5	"Min_first"	"Innovation"
98	"Brazil"	"CB8"	"Girl"	9	"Min_first"	"Minority"
99	"Brazil"	"CB2"	"Boy"	10	"Maj_first"	"Majority"
100	"Brazil"	"CB2"	"Boy"	5	"Maj_first"	"Minority"
101	"Brazil"	"CB3"	"Girl"	5	"Min_first"	"Innovation"
102	"Brazil"	"CB9"	"Girl"	5	"Maj_first"	"Innovation"
103	"Brazil"	"CB4"	"Girl"	4	"Min_first"	"Innovation"
104	"Brazil"	"CB8"	"Boy"	5	"Min_first"	"Majority"
105	"Brazil"	"CB2"	"Girl"	5	"Maj_first"	"Majority"
106	"Brazil"	"CB1"	"Girl"	5	"Min_first"	"Minority"
107	"Brazil"	"CB2"	"Boy"	5	"Maj_first"	"Majority"
108	"Brazil"	"CB6"	"Boy"	5	"Min_first"	"Minority"
109	"Brazil"	"CB11"	"Boy"	11	"Min_first"	"Minority"
110	"Brazil"	"CB10"	"Boy"	4	"Maj_first"	"Majority"
111	"Brazil"	"CB9"	"Girl"	8	"Maj_first"	"Majority"
112	"Brazil"	"CB10"	"Girl"	6	"Maj_first"	"Innovation"
113	"Brazil"	"CB10"	"Girl"	9	"Maj_first"	"Majority"
114	"Brazil"	"CB8"	"Boy"	5	"Min_first"	"Minority"
115	"Brazil"	"CB10"	"Boy"	5	"Maj_first"	"Majority"
116	"Brazil"	"CB4"	"Girl"	9	"Min_first"	"Majority"
117	"Brazil"	"CB7"	"Boy"	5	"Maj_first"	"Majority"
118	"Brazil"	"CB6"	"Boy"	8	"Min_first"	"Minority"
119	"Brazil"	"CB3"	"Boy"	4	"Min_first"	"Innovation"
120	"Brazil"	"CB3"	"Boy"	10	"Min_first"	"Minority"
121	"Brazil"	"CB9"	"Boy"	5	"Maj_first"	"Majority"
122	"Brazil"	"CB5"	"Boy"	5	"Maj_first"	"Majority"
123	"Brazil"	"CB6"	"Boy"	6	"Min_first"	"Majority"
124	"Brazil"	"CB5"	"Girl"	5	"Maj_first"	"Innovation"
125	"Brazil"	"CB1"	"Boy"	5	"Min_first"	"Minority"
126	"Brazil"	"CB7"	"Boy"	8	"Maj_first"	"Majority"
127	"Brazil"	"CB7"	"Boy"	9	"Maj_first"	"Minority"
128	"Brazil"	"CB9"	"Boy"	7	"Maj_first"	"Majority"
129	"Brazil"	"CB12"	"Boy"	7	"Maj_first"	"Majority"
130	"Brazil"	"CB5"	"Boy"	6	"Maj_first"	"Majority"
131	"Brazil"	"CB6"	"Boy"	5	"Min_first"	"Majority"
132	"Brazil"	"CB1"	"Boy"	5	"Min_first"	"Minority"
133	"Brazil"	"CB4"	"Boy"	8	"Min_first"	"Innovation"
134	"Brazil"	"CB3"	"Boy"	8	"Min_first"	"Minority"
135	"Brazil"	"CB1"	"Girl"	6	"Min_first"	"Minority"
136	"Brazil"	"CB8"	"Boy"	8	"Min_first"	"Minority"
137	"Brazil"	"CB1"	"Girl"	6	"Min_first"	"Innovation"
138	"Brazil"	"CB1"	"Girl"	8	"Min_first"	"Innovation"
139	"Brazil"	"CB9"	"Boy"	8	"Maj_first"	"Majority"
140	"Brazil"	"CB10"	"Boy"	7	"Maj_first"	"Majority"
141	"Brazil"	"CB7"	"Girl"	5	"Maj_first"	"Innovation"
142	"Brazil"	"CB12"	"Girl"	10	"Maj_first"	"Majority"
143	"Germany"	"CB8"	"Girl"	6	"Min_first"	"Minority"
144	"Germany"	"CB6"	"Boy"	6	"Min_first"	"Minority"
145	"Germany"	"CB7"	"Girl"	7	"Maj_first"	"Majority"
146	"Germany"	"CB4"	"Girl"	5	"Min_first"	"Minority"
147	"Germany"	"CB1"	"Boy"	6	"Min_first"	"Minority"
148	"Germany"	"CB7"	"Girl"	6	"Maj_first"	"Majority"
149	"Germany"	"CB4"	"Girl"	8	"Min_first"	"Majority"
150	"Germany"	"CB1"	"Girl"	8	"Min_first"	"Majority"
151	"Germany"	"CB5"	"Boy"	8	"Maj_first"	"Majority"
152	"Germany"	"CB3"	"Boy"	4	"Min_first"	"Minority"
153	"Germany"	"CB11"	"Girl"	6	"Min_first"	"Minority"
154	"Germany"	"CB2"	"Girl"	4	"Maj_first"	"Majority"
155	"Germany"	"CB1"	"Girl"	9	"Min_first"	"Majority"
156	"Germany"	"CB8"	"Girl"	4	"Min_first"	"Minority"
157	"Germany"	"CB7"	"Girl"	6	"Maj_first"	"Majority"
158	"Germany"	"CB12"	"Girl"	8	"Maj_first"	"Majority"
159	"Germany"	"CB2"	"Girl"	9	"Maj_first"	"Majority"
160	"Germany"	"CB8"	"Girl"	7	"Min_first"	"Minority"
161	"Germany"	"CB8"	"Boy"	5	"Min_first"	"Minority"
162	"Germany"	"CB4"	"Boy"	7	"Min_first"	"Minority"
163	"Germany"	"CB6"	"Girl"	4	"Min_first"	"Majority"
164	"Germany"	"CB1"	"Boy"	5	"Min_first"	"Majority"
165	"Germany"	"CB10"	"Girl"	8	"Maj_first"	"Majority"
166	"Germany"	"CB7"	"Girl"	4	"Maj_first"	"Majority"
167	"Germany"	"CB2"	"Boy"	4	"Maj_first"	"Majority"
168	"Germany"	"CB4"	"Boy"	4	"Min_first"	"Majority"
169	"Germany"	"CB4"	"Boy"	5	"Min_first"	"Minority"
170	"Germany"	"CB2"	"Boy"	9	"Maj_first"	"Majority"
171	"Germany"	"CB3"	"Boy"	9	"Min_first"	"Minority"
172	"Germany"	"CB9"	"Boy"	5	"Maj_first"	"Majority"
173	"Germany"	"CB8"	"Boy"	5	"Min_first"	"Innovation"
174	"Germany"	"CB10"	"Girl"	5	"Maj_first"	"Majority"
175	"Germany"	"CB6"	"Boy"	8	"Min_first"	"Innovation"
176	"Germany"	"CB8"	"Boy"	8	"Min_first"	"Minority"
177	"Germany"	"CB6"	"Girl"	5	"Min_first"	"Innovation"
178	"Germany"	"CB5"	"Girl"	5	"Maj_first"	"Majority"
179	"Germany"	"CB4"	"Girl"	8	"Min_first"	"Majority"
180	"Germany"	"CB1"	"Girl"	7	"Min_first"	"Majority"
181	"Germany"	"CB9"	"Boy"	9	"Maj_first"	"Majority"
182	"Germany"	"CB11"	"Boy"	6	"Min_first"	"Minority"
183	"Germany"	"CB6"	"Boy"	8	"Min_first"	"Majority"
184	"Germany"	"CB5"	"Boy"	7	"Maj_first"	"Majority"
185	"Germany"	"CB12"	"Boy"	9	"Maj_first"	"Innovation"
186	"Germany"	"CB7"	"Boy"	5	"Maj_first"	"Majority"
187	"Germany"	"CB10"	"Boy"	8	"Maj_first"	"Majority"
188	"Germany"	"CB1"	"Boy"	7	"Min_first"	"Minority"
189	"Germany"	"CB1"	"Boy"	8	"Min_first"	"Majority"
190	"Germany"	"CB6"	"Girl"	7	"Min_first"	"Innovation"
191	"Germany"	"CB9"	"Girl"	8	"Maj_first"	"Innovation"
192	"Germany"	"CB3"	"Girl"	7	"Min_first"	"Minority"
193	"Germany"	"CB10"	"Boy"	6	"Maj_first"	"Majority"
194	"Germany"	"CB2"	"Boy"	6	"Maj_first"	"Innovation"
195	"Germany"	"CB2"	"Boy"	8	"Maj_first"	"Majority"
196	"Germany"	"CB4"	"Girl"	5	"Min_first"	"Minority"
197	"Germany"	"CB12"	"Girl"	5	"Maj_first"	"Majority"
198	"Germany"	"CB6"	"Girl"	8	"Min_first"	"Innovation"
199	"Germany"	"CB11"	"Boy"	9	"Min_first"	"Majority"
200	"Germany"	"CB12"	"Boy"	5	"Maj_first"	"Majority"
201	"Germany"	"CB11"	"Girl"	8	"Min_first"	"Minority"
202	"Germany"	"CB3"	"Girl"	6	"Min_first"	"Minority"
203	"Germany"	"CB9"	"Girl"	4	"Maj_first"	"Majority"
204	"Germany"	"CB2"	"Girl"	6	"Maj_first"	"Majority"
205	"Germany"	"CB12"	"Girl"	5	"Maj_first"	"Majority"
206	"Germany"	"CB7"	"Boy"	7	"Maj_first"	"Majority"
207	"Germany"	"CB5"	"Boy"	9	"Maj_first"	"Majority"
208	"Germany"	"CB3"	"Boy"	6	"Min_first"	"Majority"
209	"Germany"	"CB3"	"Girl"	6	"Min_first"	"Minority"
210	"Germany"	"CB2"	"Boy"	7	"Maj_first"	"Majority"
211	"Germany"	"CB10"	"Girl"	6	"Maj_first"	"Majority"
212	"Germany"	"CB1"	"Girl"	6	"Min_first"	"Minority"
213	"Germany"	"CB4"	"Girl"	7	"Min_first"	"Innovation"
214	"Germany"	"CB6"	"Boy"	5	"Min_first"	"Minority"
215	"Germany"	"CB10"	"Girl"	8	"Maj_first"	"Majority"
216	"Germany"	"CB2"	"Girl"	8	"Maj_first"	"Innovation"
217	"Germany"	"CB10"	"Boy"	5	"Maj_first"	"Majority"
218	"Germany"	"CB12"	"Girl"	7	"Maj_first"	"Minority"
219	"Germany"	"CB5"	"Girl"	8	"Maj_first"	"Majority"
220	"Germany"	"CB1"	"Girl"	5	"Min_first"	"Minority"
221	"Germany"	"CB10"	"Girl"	5	"Maj_first"	"Majority"
222	"Germany"	"CB5"	"Boy"	5	"Maj_first"	"Majority"
223	"Germany"	"CB3"	"Girl"	5	"Min_first"	"Innovation"
224	"Germany"	"CB9"	"Boy"	5	"Maj_first"	"Majority"
225	"Germany"	"CB5"	"Girl"	7	"Maj_first"	"Minority"
226	"Germany"	"CB11"	"Girl"	5	"Min_first"	"Innovation"
227	"Germany"	"CB10"	"Boy"	5	"Maj_first"	"Majority"
228	"Germany"	"CB8"	"Girl"	6	"Min_first"	"Minority"
229	"Germany"	"CB5"	"Girl"	9	"Maj_first"	"Majority"
230	"Germany"	"CB6"	"Boy"	6	"Min_first"	"Minority"
231	"Germany"	"CB8"	"Boy"	8	"Min_first"	"Minority"
232	"Germany"	"CB2"	"Girl"	6	"Maj_first"	"Innovation"
233	"Germany"	"CB9"	"Girl"	5	"Maj_first"	"Majority"
234	"Germany"	"CB4"	"Boy"	8	"Min_first"	"Minority"
235	"Germany"	"CB11"	"Boy"	6	"Min_first"	"Minority"
236	"Germany"	"CB7"	"Boy"	5	"Maj_first"	"Majority"
237	"Germany"	"CB1"	"Boy"	8	"Min_first"	"Minority"
238	"Germany"	"CB4"	"Boy"	8	"Min_first"	"Minority"
239	"Germany"	"CB5"	"Boy"	4	"Maj_first"	"Majority"
240	"Germany"	"CB7"	"Boy"	9	"Maj_first"	"Majority"
241	"Germany"	"CB8"	"Boy"	7	"Min_first"	"Majority"
242	"Germany"	"CB12"	"Boy"	5	"Maj_first"	"Majority"
243	"Germany"	"CB3"	"Boy"	8	"Min_first"	"Minority"
244	"Germany"	"CB11"	"Girl"	4	"Min_first"	"Majority"
245	"Germany"	"CB3"	"Boy"	7	"Min_first"	"Minority"
246	"Germany"	"CB3"	"Girl"	9	"Min_first"	"Minority"
247	"Germany"	"CB9"	"Girl"	7	"Maj_first"	"Majority"
248	"Germany"	"CB11"	"Boy"	5	"Min_first"	"Majority"
249	"Germany"	"CB11"	"Girl"	8	"Min_first"	"Minority"
250	"Germany"	"CB9"	"Girl"	8	"Maj_first"	"Majority"
251	"Germany"	"CB5"	"Girl"	6	"Maj_first"	"Majority"
252	"Germany"	"CB6"	"Girl"	9	"Min_first"	"Minority"
253	"Germany"	"CB9"	"Boy"	6	"Maj_first"	"Majority"
254	"Germany"	"CB7"	"Boy"	7	"Maj_first"	"Innovation"
255	"Germany"	"CB8"	"Girl"	9	"Min_first"	"Majority"
256	"Germany"	"CB7"	"Girl"	8	"Maj_first"	"Minority"
257	"Namibia"	"CB4"	"Boy"	13	"Min_first"	"Majority"
258	"Namibia"	"CB9"	"Boy"	9	"Maj_first"	"Innovation"
259	"Namibia"	"CB9"	"Girl"	6	"Maj_first"	"Minority"
260	"Namibia"	"CB11"	"Boy"	10	"Min_first"	"Majority"
261	"Namibia"	"CB3"	"Girl"	6	"Min_first"	"Majority"
262	"Namibia"	"CB11"	"Boy"	13	"Min_first"	"Minority"
263	"Namibia"	"CB3"	"Boy"	5	"Min_first"	"Majority"
264	"Namibia"	"CB5"	"Boy"	12	"Maj_first"	"Majority"
265	"Namibia"	"CB3"	"Boy"	13	"Min_first"	"Minority"
266	"Namibia"	"CB9"	"Boy"	7	"Maj_first"	"Minority"
267	"Namibia"	"CB12"	"Boy"	6	"Maj_first"	"Majority"
268	"Namibia"	"CB5"	"Boy"	5	"Maj_first"	"Majority"
269	"Namibia"	"CB6"	"Boy"	11	"Min_first"	"Majority"
270	"Namibia"	"CB8"	"Girl"	10	"Min_first"	"Innovation"
271	"Namibia"	"CB6"	"Girl"	13	"Min_first"	"Majority"
272	"Namibia"	"CB5"	"Girl"	8	"Maj_first"	"Minority"
273	"Namibia"	"CB11"	"Boy"	7	"Min_first"	"Minority"
274	"Namibia"	"CB1"	"Boy"	7	"Min_first"	"Minority"
275	"Namibia"	"CB6"	"Boy"	7	"Min_first"	"Majority"
276	"Namibia"	"CB3"	"Girl"	13	"Min_first"	"Minority"
277	"Namibia"	"CB1"	"Girl"	13	"Min_first"	"Majority"
278	"Namibia"	"CB9"	"Girl"	10	"Maj_first"	"Minority"
279	"Namibia"	"CB7"	"Girl"	10	"Maj_first"	"Innovation"
280	"Namibia"	"CB4"	"Girl"	5	"Min_first"	"Majority"
281	"Namibia"	"CB7"	"Boy"	9	"Maj_first"	"Majority"
282	"Namibia"	"CB10"	"Boy"	7	"Maj_first"	"Majority"
283	"Namibia"	"CB1"	"Boy"	8	"Min_first"	"Majority"
284	"Namibia"	"CB10"	"Boy"	10	"Maj_first"	"Majority"
285	"Namibia"	"CB10"	"Boy"	12	"Maj_first"	"Majority"
286	"Namibia"	"CB11"	"Girl"	7	"Min_first"	"Minority"
287	"Namibia"	"CB10"	"Girl"	12	"Maj_first"	"Innovation"
288	"Namibia"	"CB1"	"Girl"	6	"Min_first"	"Minority"
289	"Namibia"	"CB8"	"Girl"	7	"Min_first"	"Minority"
290	"Namibia"	"CB2"	"Boy"	10	"Maj_first"	"Majority"
291	"Namibia"	"CB7"	"Boy"	13	"Maj_first"	"Majority"
292	"Namibia"	"CB6"	"Girl"	8	"Min_first"	"Majority"
293	"Namibia"	"CB2"	"Boy"	12	"Maj_first"	"Innovation"
294	"Namibia"	"CB2"	"Girl"	8	"Maj_first"	"Majority"
295	"Namibia"	"CB4"	"Boy"	10	"Min_first"	"Majority"
296	"Namibia"	"CB7"	"Girl"	12	"Maj_first"	"Majority"
297	"Namibia"	"CB5"	"Girl"	13	"Maj_first"	"Majority"
298	"Namibia"	"CB12"	"Girl"	11	"Maj_first"	"Minority"
299	"Namibia"	"CB2"	"Girl"	11	"Maj_first"	"Minority"
300	"Namibia"	"CB1"	"Boy"	12	"Min_first"	"Majority"
301	"Namibia"	"CB10"	"Girl"	10	"Maj_first"	"Minority"
302	"Namibia"	"CB12"	"Boy"	11	"Maj_first"	"Minority"
303	"Namibia"	"CB6"	"Boy"	10	"Min_first"	"Innovation"
304	"Namibia"	"CB7"	"Boy"	5	"Maj_first"	"Majority"
305	"Namibia"	"CB9"	"Boy"	10	"Maj_first"	"Majority"
306	"Namibia"	"CB8"	"Boy"	12	"Min_first"	"Innovation"
307	"Namibia"	"CB12"	"Girl"	10	"Maj_first"	"Innovation"
308	"Namibia"	"CB11"	"Girl"	10	"Min_first"	"Minority"
309	"Namibia"	"CB9"	"Girl"	12	"Maj_first"	"Majority"
310	"Namibia"	"CB9"	"Boy"	12	"Maj_first"	"Minority"
311	"Namibia"	"CB5"	"Boy"	10	"Maj_first"	"Innovation"
312	"Namibia"	"CB4"	"Girl"	10	"Min_first"	"Minority"
313	"Namibia"	"CB3"	"Girl"	8	"Min_first"	"Innovation"
314	"Namibia"	"CB7"	"Girl"	6	"Maj_first"	"Majority"
315	"Namibia"	"CB4"	"Boy"	5	"Min_first"	"Innovation"
316	"Namibia"	"CB8"	"Girl"	12	"Min_first"	"Innovation"
317	"Namibia"	"CB11"	"Girl"	12	"Min_first"	"Majority"
318	"Namibia"	"CB12"	"Girl"	7	"Maj_first"	"Innovation"
319	"Namibia"	"CB1"	"Girl"	10	"Min_first"	"Majority"
320	"Namibia"	"CB10"	"Girl"	6	"Maj_first"	"Innovation"
321	"Namibia"	"CB4"	"Girl"	13	"Min_first"	"Majority"
322	"Namibia"	"CB2"	"Girl"	7	"Maj_first"	"Majority"
323	"Namibia"	"CB3"	"Boy"	9	"Min_first"	"Innovation"
324	"Namibia"	"CB3"	"Boy"	5	"Min_first"	"Majority"
325	"Namibia"	"CB12"	"Boy"	10	"Maj_first"	"Innovation"
326	"Indonesia"	"CB1"	"Boy"	5	"Min_first"	"Minority"
327	"Indonesia"	"CB1"	"Boy"	7	"Min_first"	"Majority"
328	"Indonesia"	"CB10"	"Boy"	9	"Maj_first"	"Majority"
329	"Indonesia"	"CB1"	"Girl"	9	"Min_first"	"Innovation"
330	"Indonesia"	"CB9"	"Girl"	5	"Maj_first"	"Majority"
331	"Indonesia"	"CB10"	"Girl"	9	"Maj_first"	"Innovation"
332	"Indonesia"	"CB1"	"Boy"	9	"Min_first"	"Innovation"
333	"Indonesia"	"CB11"	"Girl"	9	"Min_first"	"Majority"
334	"Indonesia"	"CB1"	"Girl"	7	"Min_first"	"Minority"
335	"Indonesia"	"CB2"	"Girl"	9	"Maj_first"	"Minority"
336	"Indonesia"	"CB2"	"Girl"	7	"Maj_first"	"Minority"
337	"Indonesia"	"CB2"	"Boy"	7	"Maj_first"	"Innovation"
338	"Indonesia"	"CB2"	"Boy"	9	"Maj_first"	"Minority"
339	"Indonesia"	"CB3"	"Girl"	9	"Min_first"	"Innovation"
340	"Indonesia"	"CB4"	"Girl"	5	"Min_first"	"Minority"
341	"Indonesia"	"CB4"	"Girl"	9	"Min_first"	"Innovation"
342	"Indonesia"	"CB5"	"Girl"	9	"Maj_first"	"Minority"
343	"Indonesia"	"CB6"	"Boy"	9	"Min_first"	"Innovation"
344	"Indonesia"	"CB11"	"Boy"	9	"Min_first"	"Innovation"
345	"Indonesia"	"CB8"	"Boy"	9	"Min_first"	"Innovation"
346	"Indonesia"	"CB3"	"Girl"	7	"Min_first"	"Minority"
347	"Indonesia"	"CB3"	"Boy"	9	"Min_first"	"Innovation"
348	"Indonesia"	"CB11"	"Girl"	7	"Min_first"	"Minority"
349	"Indonesia"	"CB4"	"Girl"	7	"Min_first"	"Majority"
350	"Indonesia"	"CB7"	"Girl"	7	"Maj_first"	"Majority"
351	"Indonesia"	"CB12"	"Girl"	9	"Maj_first"	"Innovation"
352	"Indonesia"	"CB2"	"Girl"	5	"Maj_first"	"Majority"
353	"Indonesia"	"CB10"	"Girl"	7	"Maj_first"	"Innovation"
354	"Indonesia"	"CB5"	"Girl"	7	"Maj_first"	"Minority"
355	"Indonesia"	"CB7"	"Girl"	5	"Maj_first"	"Innovation"
356	"Indonesia"	"CB6"	"Girl"	7	"Min_first"	"Majority"
357	"Indonesia"	"CB12"	"Boy"	9	"Maj_first"	"Minority"
358	"Indonesia"	"CB4"	"Boy"	9	"Min_first"	"Majority"
359	"Indonesia"	"CB9"	"Boy"	5	"Maj_first"	"Innovation"
360	"Indonesia"	"CB3"	"Boy"	7	"Min_first"	"Minority"
361	"Indonesia"	"CB8"	"Boy"	5	"Min_first"	"Minority"
362	"Indonesia"	"CB4"	"Boy"	7	"Min_first"	"Innovation"
363	"Indonesia"	"CB10"	"Girl"	5	"Maj_first"	"Majority"
364	"Indonesia"	"CB12"	"Girl"	7	"Maj_first"	"Majority"
365	"Indonesia"	"CB11"	"Girl"	5	"Min_first"	"Innovation"
366	"Indonesia"	"CB7"	"Boy"	5	"Maj_first"	"Majority"
367	"Indonesia"	"CB10"	"Boy"	5	"Maj_first"	"Majority"
368	"Indonesia"	"CB6"	"Girl"	9	"Min_first"	"Majority"
369	"Indonesia"	"CB6"	"Girl"	5	"Min_first"	"Minority"
370	"Indonesia"	"CB12"	"Girl"	5	"Maj_first"	"Innovation"
371	"Indonesia"	"CB12"	"Boy"	5	"Maj_first"	"Majority"
372	"Indonesia"	"CB5"	"Boy"	7	"Maj_first"	"Minority"
373	"Indonesia"	"CB11"	"Boy"	5	"Min_first"	"Minority"
374	"Indonesia"	"CB7"	"Girl"	9	"Maj_first"	"Innovation"
375	"Indonesia"	"CB6"	"Boy"	7	"Min_first"	"Majority"
376	"Indonesia"	"CB7"	"Boy"	9	"Maj_first"	"Innovation"
377	"Indonesia"	"CB5"	"Girl"	5	"Maj_first"	"Minority"
378	"Indonesia"	"CB8"	"Girl"	7	"Min_first"	"Innovation"
